,Ticker 1,Ticker 2,Mean,Standard Deviation,Range
0,V,MA,-203.72348482063018,14.460583030433044,59.1357421875
1,V,AXP,36.640007294804214,25.6165537020911,91.64860534667969
2,V,COF,141.16545650374937,18.32896000834773,71.70826721191406
3,V,PYPL,236.01298579633476,34.30201110715329,108.50991821289062
4,V,SYF,254.34878405222452,31.196934901483875,109.02872467041016
5,V,SOFI,298.3231665848728,32.31591853298144,113.61127519607544
6,V,ALLY,273.4688788954034,36.15309300176707,125.98308944702148
7,V,UPST,259.72262440723586,28.942106731449517,99.48951721191406
8,V,OMF,261.50826818014247,32.45664484908173,116.23749160766602
9,V,SLM,284.1177469429721,30.977310602921413,112.49949645996094
10,V,CACC,-174.62635178163828,46.698811506917565,236.04318237304688
11,V,FCFS,196.1060859955937,30.97254836085967,109.06444549560547
12,V,NNI,200.16223156787305,33.26577631544242,116.74156951904297
13,V,BFH,257.09114882074687,33.66843094479138,118.43636322021484
14,V,ENVA,218.8203953968952,27.072038335444184,105.67127227783203
15,V,WU,299.5736519955248,35.42549101097535,123.90414237976074
16,V,NAVI,296.0152528065754,35.52021089353171,122.39822101593018
17,V,AGM-A,167.3908369684794,36.63457235296098,147.75234985351562
18,V,OPFI,302.3018041480497,31.78404488024115,111.3690333366394
19,MA,AXP,240.36349211543438,26.612922815850308,102.05462646484375
20,MA,COF,344.8889413243796,23.86085301594206,114.568603515625
21,MA,PYPL,439.73647061696494,39.428018132467926,145.97078704833984
22,MA,SYF,458.0722688728547,37.767397051255216,152.37823486328125
23,MA,SOFI,502.046651405503,39.726662474398076,155.21078634262085
24,MA,ALLY,477.1923637160336,43.774481522163505,167.86260223388672
25,MA,UPST,463.44610922786603,33.556749291246355,136.76576805114746
26,MA,OMF,465.23175300077264,39.83877288006742,157.6361427307129
27,MA,SLM,487.84123176360225,38.75933553318618,153.69681549072266
28,MA,CACC,29.097133038991906,56.231691210497836,280.2367858886719
29,MA,FCFS,399.8295708162239,38.81237441310691,147.21451568603516
30,MA,NNI,403.8857163885032,40.20550247225438,158.80108642578125
31,MA,BFH,460.81463364137704,40.41507414159675,162.13587188720703
32,MA,ENVA,422.5438802175254,33.12080007887488,147.52191925048828
33,MA,WU,503.297136816155,42.98213259288869,165.30279350280762
34,MA,NAVI,499.7387376272056,42.88067650254265,163.79687213897705
35,MA,AGM-A,371.11432178910957,42.876527016625836,191.62185668945312
36,MA,OPFI,506.0252889686799,39.478064295506606,152.76768445968628
37,AXP,COF,104.52544920894516,11.085065254370106,47.93025207519531
38,AXP,PYPL,199.37297850153053,19.043199094103766,76.68252563476562
39,AXP,SYF,217.7087767574203,18.640808544908758,73.85678482055664
40,AXP,SOFI,261.6831592900686,22.801161984152245,88.98923206329346
41,AXP,ALLY,236.82887160059917,26.49652149410979,99.58608627319336
42,AXP,UPST,223.08261711243165,14.09306664818035,61.781185150146484
43,AXP,OMF,224.86826088533823,22.385888886704837,87.37371063232422
44,AXP,SLM,247.47773964816787,23.169448918101494,91.18755531311035
45,AXP,CACC,-211.26635907644248,43.358756281344014,217.29730224609375
46,AXP,FCFS,159.4660787007895,26.64911176043137,100.57054138183594
47,AXP,NNI,163.52222427306884,24.396749506587344,93.70938873291016
48,AXP,BFH,220.45114152594263,21.426836039442474,79.96542739868164
49,AXP,ENVA,182.18038810209097,15.481581024269243,68.10653686523438
50,AXP,WU,262.9336447007206,26.301927832297835,101.06051254272461
51,AXP,NAVI,259.3752455117712,25.99032976044617,100.16199207305908
52,AXP,AGM-A,130.75082967367516,23.585601927805122,105.36662292480469
53,AXP,OPFI,265.6617968532455,23.499771283500515,91.8422110080719
54,COF,PYPL,94.84752929258538,19.494865300669556,64.9588851928711
55,COF,SYF,113.18332754847515,16.632890084173866,58.069515228271484
56,COF,SOFI,157.15771008112344,19.68746883390171,69.90118312835693
57,COF,ALLY,132.303422391654,23.659195719032105,79.32983779907227
58,COF,UPST,118.5571679034865,13.70865263574825,54.56507873535156
59,COF,OMF,120.34281167639307,19.341850208288765,65.3452377319336
60,COF,SLM,142.9522904392227,19.32803659482879,67.04691505432129
61,COF,CACC,-315.7918082853876,38.83306086458751,209.04115295410156
62,COF,FCFS,54.940629491844334,22.012321728327382,78.15123748779297
63,COF,NNI,58.99677506412368,21.538894222819938,71.20834350585938
64,COF,BFH,115.92569231699748,19.707003302239894,67.22506713867188
65,COF,ENVA,77.65493889314583,12.611636104540585,51.06352996826172
66,COF,WU,158.40819549177544,23.37793925261651,79.62775421142578
67,COF,NAVI,154.84979630282606,23.260551501627308,79.67325687408447
68,COF,AGM-A,26.225380464730012,22.388438232502285,91.36836242675781
69,COF,OPFI,161.13634764430034,19.938553190471744,71.47307777404785
70,PYPL,SYF,18.33579825588977,5.579752670606817,23.905609130859375
71,PYPL,SOFI,62.31018078853806,7.878005870613516,27.39999771118164
72,PYPL,ALLY,37.45589309906864,10.55867753746605,40.256568908691406
73,PYPL,UPST,23.709638610901123,10.268024865612805,53.19999694824219
74,PYPL,OMF,25.49528238380769,8.048133405739971,30.327735900878906
75,PYPL,SLM,48.10476114663733,9.813636285553766,31.82436180114746
76,PYPL,CACC,-410.63933757797304,38.74371146378503,209.21999740600586
77,PYPL,FCFS,-39.90689980074105,14.829573226971657,54.381622314453125
78,PYPL,NNI,-35.850754228461696,10.060164682006254,38.42827606201172
79,PYPL,BFH,21.078163024412103,6.197703173985774,29.858009338378906
80,PYPL,ENVA,-17.192590399439556,9.74437515561897,38.60000228881836
81,PYPL,WU,63.560666199190074,10.030319863606433,36.16824436187744
