Date,AGM-A,ALLY,AXP,BFH,CACC,COF,ENVA,FCFS,MA,NAVI,NNI,OMF,OPFI,PYPL,SLM,SOFI,SYF,UPST,V,WU
2024-06-17,134.2864532470703,38.49543762207031,225.1487274169922,40.02462387084961,482.9200134277344,135.21302795410156,59.86000061035156,107.90171813964844,444.8869323730469,13.654328346252441,98.64567565917969,44.2626953125,3.3539950847625732,60.130001068115234,20.063982009887695,6.460000038146973,42.26673126220703,22.389999389648438,269.2129211425781,11.117920875549316
2024-06-18,119.90718841552734,38.78596878051758,226.17449951171875,40.211700439453125,482.5400085449219,135.44969177246094,59.75,107.86223602294922,446.8725280761719,13.644759178161621,100.22986602783203,44.53934097290039,3.2958333492279053,59.119998931884766,20.1326961517334,6.420000076293945,42.796409606933594,22.219999313354492,271.6452331542969,11.28209114074707
2024-06-20,121.83916473388672,38.72785949707031,227.06219482421875,43.352622985839844,485.1700134277344,136.22882080078125,60.560001373291016,105.7201919555664,449.2552795410156,13.845698356628418,99.16053771972656,45.138729095458984,3.140735387802124,59.79999923706055,20.289751052856445,6.320000171661377,44.071571350097656,21.8799991607666,274.8221435546875,11.127041816711426
2024-06-21,119.234375,38.563228607177734,227.22984313964844,43.2837028503418,488.7900085449219,134.88755798339844,60.43000030517578,104.93049621582031,451.5784606933594,13.903109550476074,99.15064239501953,45.21249771118164,3.2473649978637695,60.61000061035156,20.436992645263672,6.320000171661377,43.620365142822266,21.639999389648438,273.23370361328125,11.254729270935059
2024-06-24,119.1863021850586,39.12491989135742,228.30496215820312,43.34278106689453,490.4200134277344,135.78500366210938,61.380001068115234,104.67385864257812,453.6732482910156,13.903109550476074,98.97241973876953,45.72889709472656,3.257058620452881,59.4900016784668,20.603866577148438,6.539999961853027,44.650299072265625,23.219999313354492,274.305908203125,11.309452056884766
2024-06-25,117.73491668701172,38.43732833862305,227.43699645996094,42.692935943603516,490.17999267578125,133.0038299560547,60.52000045776367,104.20989990234375,452.3726806640625,13.683032989501953,98.92291259765625,44.4655647277832,3.266752243041992,59.33000183105469,20.27993392944336,6.449999809265137,44.29718017578125,22.559999465942383,271.5558776855469,11.18176555633545
2024-06-26,117.5619125366211,38.57291030883789,227.5257568359375,42.71262741088867,497.0,134.88755798339844,60.79999923706055,105.5721206665039,449.1261901855469,13.616052627563477,100.4675064086914,44.4655647277832,3.286139726638794,58.2599983215332,20.16214370727539,6.460000038146973,44.02252960205078,23.0,271.6253967285156,11.026717185974121
2024-06-27,117.5619125366211,38.34048843383789,225.2769317626953,42.338470458984375,495.9200134277344,132.1852569580078,60.279998779296875,104.43695068359375,439.56549072265625,13.587347030639648,99.54667663574219,44.2811393737793,3.286139726638794,58.369998931884766,20.1326961517334,6.539999961853027,43.384944915771484,23.610000610351562,264.6659851074219,10.944631576538086
2024-06-28,121.90644836425781,38.41795349121094,228.3838653564453,43.874473571777344,514.6799926757812,136.54441833496094,62.25,103.52879333496094,437.9869384765625,13.931817054748535,99.86353302001953,44.71454620361328,3.286139726638794,58.029998779296875,20.40754508972168,6.610000133514404,46.28839111328125,23.59000015258789,260.57568359375,11.145282745361328
2024-07-01,120.12826538085938,38.020896911621094,230.61294555664062,44.632625579833984,517.219970703125,137.77720642089844,62.04999923706055,102.67987060546875,434.4624328613281,13.616052627563477,99.81401062011719,44.51166915893555,3.412156820297241,57.810001373291016,20.329015731811523,6.429999828338623,47.190818786621094,22.899999618530273,261.34014892578125,11.090559959411621
2024-07-02,120.12826538085938,39.03776168823242,232.74343872070312,44.71139144897461,522.5,138.54647827148438,62.5,103.29190063476562,441.4517822265625,13.788287162780762,101.77445983886719,45.101844787597656,3.412156820297241,58.970001220703125,20.505704879760742,6.449999809265137,47.11234664916992,22.969999313354492,266.2941589355469,11.227368354797363
2024-07-03,120.12826538085938,39.173343658447266,232.4869842529297,44.69169998168945,519.0,136.51483154296875,62.15999984741211,102.1961898803711,444.9564208984375,13.797855377197266,100.84373474121094,44.9450798034668,3.431544065475464,59.63999938964844,20.495887756347656,6.519999980926514,46.45514678955078,23.06999969482422,267.04864501953125,11.17264461517334
2024-07-05,124.95338439941406,38.58259582519531,233.10032653808594,44.219085693359375,521.5599975585938,134.12814331054688,61.15999984741211,100.68589782714844,446.2569885253906,13.711737632751465,100.8338394165039,43.62641906738281,3.344301462173462,59.7599983215332,19.965822219848633,6.46999979019165,46.02355194091797,23.200000762939453,268.4087829589844,11.0540771484375
2024-07-08,134.565185546875,39.22176742553711,231.9923553466797,44.2387809753418,522.1799926757812,133.9407501220703,61.4900016784668,101.01165771484375,443.0303649902344,13.606485366821289,100.8239517211914,44.01371383666992,3.412156820297241,59.09000015258789,20.270118713378906,6.349999904632568,46.759220123291016,23.219999313354492,264.4773254394531,11.190886497497559
2024-07-09,134.565185546875,39.73503494262695,235.1975555419922,45.331703186035156,523.9600219726562,135.10452270507812,61.5,100.78460693359375,442.1554260253906,13.491661071777344,100.60611724853516,43.340553283691406,3.373382329940796,59.0,20.31920051574707,6.380000114440918,47.524322509765625,24.239999771118164,263.5242919921875,11.263850212097168
2024-07-10,134.565185546875,39.94809341430664,236.36489868164062,45.479393005371094,532.97998046875,134.72976684570312,62.130001068115234,101.47560119628906,431.1587219238281,13.47252368927002,101.31900787353516,43.78318405151367,3.3636887073516846,58.900001525878906,20.378097534179688,6.570000171661377,47.17120361328125,24.81999969482422,261.1018981933594,11.300333023071289
