Date,GE-RTX,GE-BA,GE-LMT,GE-TDG,GE-GD,GE-HWM,GE-NOC,GE-AXON,GE-LHX,RTX-BA,RTX-LMT,RTX-TDG,RTX-GD,RTX-HWM,RTX-NOC,RTX-AXON,RTX-LHX,BA-LMT,BA-TDG,BA-GD,BA-HWM,BA-NOC,BA-AXON,BA-LHX,LMT-TDG,LMT-GD,LMT-HWM,LMT-NOC,LMT-AXON,LMT-LHX,TDG-GD,TDG-HWM,TDG-NOC,TDG-AXON,TDG-LHX,GD-HWM,GD-NOC,GD-AXON,GD-LHX,HWM-NOC,HWM-AXON,HWM-LHX,NOC-AXON,NOC-LHX,AXON-LHX
2024-06-17,59.589080810546875,-16.479598999023438,-285.30487060546875,-1087.294189453125,-124.44964599609375,82.15008544921875,-260.4523620605469,-135.25961303710938,-54.383056640625,-76.06867980957031,-344.8939514160156,-1146.8832702636719,-184.03872680664062,22.561004638671875,-320.04144287109375,-194.84869384765625,-113.97213745117188,-268.8252716064453,-1070.8145904541016,-107.97004699707031,98.62968444824219,-243.97276306152344,-118.78001403808594,-37.90345764160156,-801.9893188476562,160.855224609375,367.4549560546875,24.852508544921875,150.04525756835938,230.92181396484375,962.8445434570312,1169.4442749023438,826.8418273925781,952.0345764160156,1032.9111328125,206.5997314453125,-136.00271606445312,-10.809967041015625,70.06658935546875,-342.6024475097656,-217.40969848632812,-136.53314208984375,125.1927490234375,206.06930541992188,80.87655639648438
2024-06-18,61.02119445800781,-11.353668212890625,-284.54347229003906,-1105.051040649414,-126.78770446777344,83.67662048339844,-254.84458923339844,-129.88365173339844,-54.382049560546875,-72.37486267089844,-345.5646667480469,-1166.0722351074219,-187.80889892578125,22.655426025390625,-315.86578369140625,-190.90484619140625,-115.40324401855469,-273.18980407714844,-1093.6973724365234,-115.43403625488281,95.03028869628906,-243.4909210205078,-118.52998352050781,-43.02838134765625,-820.507568359375,157.75576782226562,368.2200927734375,29.698883056640625,154.65982055664062,230.1614227294922,978.2633361816406,1188.7276611328125,850.2064514160156,975.1673889160156,1050.6689910888672,210.46432495117188,-128.056884765625,-3.095947265625,72.40565490722656,-338.5212097167969,-213.56027221679688,-138.0586700439453,124.9609375,200.46253967285156,75.50160217285156
2024-06-20,60.757110595703125,-12.6339111328125,-290.69081115722656,-1095.7299041748047,-128.3465118408203,84.39430236816406,-263.31556701660156,-129.4739227294922,-55.96942138671875,-73.39102172851562,-351.4479217529297,-1156.4870147705078,-189.10362243652344,23.637191772460938,-324.0726776123047,-190.2310333251953,-116.72653198242188,-278.05690002441406,-1083.0959930419922,-115.71260070800781,97.02821350097656,-250.68165588378906,-116.84001159667969,-43.33551025390625,-805.0390930175781,162.34429931640625,375.0851135253906,27.375244140625,161.21688842773438,234.7213897705078,967.3833923339844,1180.1242065429688,832.4143371582031,966.2559814453125,1039.760482788086,212.74081420898438,-134.96905517578125,-1.127410888671875,72.37709045410156,-347.7098693847656,-213.86822509765625,-140.3637237548828,133.84164428710938,207.3461456298828,73.50450134277344
2024-06-21,59.474365234375,-13.64776611328125,-292.6723327636719,-1088.3570556640625,-127.75546264648438,83.0123291015625,-261.72064208984375,-128.23776245117188,-58.10517883300781,-73.12213134765625,-352.1466979980469,-1147.8314208984375,-187.22982788085938,23.5379638671875,-321.19500732421875,-187.71212768554688,-117.57954406738281,-279.0245666503906,-1074.7092895507812,-114.10769653320312,96.66009521484375,-248.0728759765625,-114.58999633789062,-44.45741271972656,-795.6847229003906,164.9168701171875,375.6846618652344,30.951690673828125,164.4345703125,234.56715393066406,960.6015930175781,1171.369384765625,826.6364135742188,960.1192932128906,1030.2518768310547,210.76779174804688,-133.96517944335938,-0.4822998046875,69.65028381347656,-344.73297119140625,-211.25009155273438,-141.1175079345703,133.48287963867188,203.61546325683594,70.13258361816406
2024-06-24,59.379180908203125,-19.857879638671875,-300.1519470214844,-1098.6194458007812,-131.69845581054688,80.84770965576172,-263.9952697753906,-133.4578857421875,-61.755706787109375,-79.237060546875,-359.5311279296875,-1157.9986267089844,-191.07763671875,21.468528747558594,-323.37445068359375,-192.83706665039062,-121.1348876953125,-280.2940673828125,-1078.7615661621094,-111.840576171875,100.7055892944336,-244.13739013671875,-113.60000610351562,-41.8978271484375,-798.4674987792969,168.4534912109375,380.9996566772461,36.15667724609375,166.69406127929688,238.396240234375,966.9209899902344,1179.467155456543,834.6241760253906,965.1615600585938,1036.8637390136719,212.5461654663086,-132.29681396484375,-1.759429931640625,69.9427490234375,-344.84297943115234,-214.30559539794922,-142.6034164428711,130.53738403320312,202.23956298828125,71.70217895507812
2024-06-25,58.957740783691406,-16.661300659179688,-297.60377502441406,-1092.139175415039,-129.33448791503906,80.4729995727539,-262.64649963378906,-134.19129943847656,-61.59864807128906,-75.6190414428711,-356.56151580810547,-1151.0969161987305,-188.29222869873047,21.5152587890625,-321.60424041748047,-193.14904022216797,-120.55638885498047,-280.9424743652344,-1075.4778747558594,-112.67318725585938,97.1343002319336,-245.98519897460938,-117.52999877929688,-44.937347412109375,-794.535400390625,168.269287109375,378.07677459716797,34.957275390625,163.4124755859375,236.005126953125,962.8046875,1172.612174987793,829.49267578125,957.9478759765625,1030.54052734375,209.80748748779297,-133.31201171875,-4.8568115234375,67.73583984375,-343.11949920654297,-214.66429901123047,-142.07164764404297,128.4552001953125,201.0478515625,72.5926513671875
2024-06-26,60.16399383544922,-19.158660888671875,-295.64886474609375,-1072.7387390136719,-127.70089721679688,80.5780258178711,-264.701904296875,-133.53866577148438,-59.6865234375,-79.3226547241211,-355.81285858154297,-1132.902732849121,-187.8648910522461,20.414031982421875,-324.8658981323242,-193.7026596069336,-119.85051727294922,-276.4902038574219,-1053.580078125,-108.542236328125,99.73668670654297,-245.54324340820312,-114.3800048828125,-40.527862548828125,-777.0898742675781,167.94796752929688,376.22689056396484,30.94696044921875,162.11019897460938,235.96234130859375,945.037841796875,1153.316764831543,808.0368347167969,939.2000732421875,1013.0522155761719,208.27892303466797,-137.00100708007812,-5.8377685546875,68.01437377929688,-345.2799301147461,-214.11669158935547,-140.2645492553711,131.16323852539062,205.015380859375,73.85214233398438
2024-06-27,60.651947021484375,-23.307540893554688,-295.9241638183594,-1061.3413696289062,-125.86141967773438,79.84092712402344,-268.2017517089844,-139.14755249023438,-59.5313720703125,-83.95948791503906,-356.57611083984375,-1121.9933166503906,-186.51336669921875,19.188980102539062,-328.85369873046875,-199.79949951171875,-120.18331909179688,-272.6166229248047,-1038.0338287353516,-102.55387878417969,103.14846801757812,-244.8942108154297,-115.84001159667969,-36.22383117675781,-765.4172058105469,170.062744140625,375.7650909423828,27.722412109375,156.776611328125,236.39279174804688,935.4799499511719,1141.1822967529297,793.1396179199219,922.1938171386719,1001.8099975585938,205.7023468017578,-142.34033203125,-13.2861328125,66.33004760742188,-348.0426788330078,-218.9884796142578,-139.37229919433594,129.05419921875,208.67037963867188,79.61618041992188
2024-06-28,59.35960388183594,-24.325164794921875,-297.41258239746094,-1052.4024505615234,-125.07911682128906,80.28741455078125,-270.74143981933594,-136.55516052246094,-62.42112731933594,-83.68476867675781,-356.7721862792969,-1111.7620544433594,-184.438720703125,20.927810668945312,-330.1010437011719,-195.91476440429688,-121.78073120117188,-273.08741760253906,-1028.0772857666016,-100.75395202636719,104.61257934570312,-246.41627502441406,-112.22999572753906,-38.09596252441406,-754.9898681640625,172.33346557617188,377.6999969482422,26.671142578125,160.857421875,234.991455078125,927.3233337402344,1132.6898651123047,781.6610107421875,915.8472900390625,989.9813232421875,205.3665313720703,-145.66232299804688,-11.476043701171875,62.657989501953125,-351.0288543701172,-216.8425750732422,-142.7085418701172,134.186279296875,208.3203125,74.134033203125
2024-07-01,60.18231964111328,-29.015167236328125,-296.76951599121094,-1028.827865600586,-122.86677551269531,80.61641693115234,-269.80784606933594,-131.52516174316406,-59.85331726074219,-89.1974868774414,-356.9518356323242,-1089.0101852416992,-183.0490951538086,20.434097290039062,-329.9901657104492,-191.70748138427734,-120.03563690185547,-267.7543487548828,-999.8126983642578,-93.85160827636719,109.63158416748047,-240.7926788330078,-102.50999450683594,-30.838150024414062,-732.058349609375,173.90274047851562,377.3859329223633,26.961669921875,165.24435424804688,236.91619873046875,905.9610900878906,1109.4442825317383,759.02001953125,897.3027038574219,968.9745483398438,203.48319244384766,-146.94107055664062,-8.65838623046875,63.013458251953125,-350.4242630004883,-212.1415786743164,-140.46973419189453,138.28268432617188,209.95452880859375,71.67184448242188
